DATE,Producer Price Index(By  Industry in $),Export Price Index(End Use of semiconductors),Import Price Index(in $ End Use of semiconductors),No. of employed peoples in semiconductor industry,Export Price Index (End use excluding without semiconductors),Relative Importance Weights (Contribution to the Total Industrial Production Index % WISE),"Import Price Index (End Use): Capital Goods, Excluding Computers, Peripherals, and Semiconductors","Export Price Index(End Use): Capital Goods, Excluding Computers, Peripherals, and Semiconductors","Industrial Production: Non-Energy Excluding Motor Vehicles & Parts, Computers, Communications Equipment, and Semiconductors"
01-12-1996,97.8,128.7,126.9,615,132.7,7.6118,109.6,,103.9436
01-01-1997,97.2,127.1,120,617.3,132.3,7.6508,107.8,,103.6958
01-02-1997,96.6,127,119.8,621.2,131,7.7717,107.4,,104.8136
01-03-1997,96.6,126.7,122.8,625.6,130.2,7.862,107.2,,105.4253
01-04-1997,96.2,126.8,120.2,628.8,129.3,7.9662,106.6,,105.4634
01-05-1997,95.4,126.7,119.7,632.4,127.1,8.0714,106.2,,105.6347
01-06-1997,95.5,125,120.7,637.9,126.3,8.1165,106.6,,105.6841
01-07-1997,95.5,125,119.1,642.2,125.2,8.1184,106.3,,106.357
01-08-1997,94.2,124.6,118.7,647,125.2,8.1648,106,,107.2075
01-09-1997,94.2,120.3,117.8,650.4,124.6,8.2008,105.6,,107.9174
01-10-1997,93.6,119.3,116.5,656,123.5,8.1404,105.4,,108.589
01-11-1997,93.3,119,113.7,658,122.9,8.126,104.9,,109.0973
01-12-1997,93.3,117.3,111.1,661.2,121.1,8.0903,104.4,,109.5011
01-01-1998,92.9,117.3,110.4,664.7,119.9,8.0573,103.9,,110.2784
01-02-1998,92.6,117.1,107.7,663.9,119.4,7.9296,103.2,,110.4032
01-03-1998,92.5,115.2,107.4,663.4,118.1,7.7848,103.1,,109.9271
01-04-1998,92.4,114.7,108,661.1,116.9,7.6876,103,,110.2314
01-05-1998,92.1,114.2,108,659,116.7,7.4561,102.9,,110.6767
01-06-1998,92,112.9,105.3,655,112.8,7.473,102.2,,110.3774
01-07-1998,91.7,110.8,103.7,649.7,112.1,7.5982,101.5,,110.6347
01-08-1998,91.5,110.8,104,645,111.1,7.5959,101.6,,110.744
01-09-1998,91.3,111,103.6,641.6,110.3,7.7722,101.2,,109.9891
01-10-1998,91.2,111.1,104.7,637.2,109.9,7.8481,101.9,,110.4084
01-11-1998,91,110.3,103.9,631.7,109.8,7.9529,102.3,,110.2973
01-12-1998,91,110,104.5,628,109.6,8.0551,102.2,,110.4318
01-01-1999,90.8,108.7,104.4,625.1,108.4,8.1703,102.3,,110.3026
01-02-1999,90.7,108.9,105.1,624.1,107.9,8.2897,102.6,,110.7637
01-03-1999,90.7,107.2,105.2,625.2,107.4,8.3738,102.2,,110.2938
01-04-1999,90.5,108.1,104.5,627.2,106.9,8.4937,101.8,,110.0608
01-05-1999,90.4,106.5,104.1,628,106.1,8.4545,101.5,,110.6359
01-06-1999,89.9,105.2,103.4,630.3,105.1,8.5044,101.2,,110.0943
01-07-1999,89.7,104.3,101.5,630.7,104.1,8.6267,100.6,,110.0884
01-08-1999,89.9,103.7,102,631.1,104.1,8.4477,100.7,,110.4327
01-09-1999,90,103.9,102.7,633.6,102.9,8.3335,101,,109.957
01-10-1999,89.7,103.4,102.6,634.5,103.4,8.2094,100.9,,111.3183
01-11-1999,89.5,103.2,101.3,637.5,103.3,8.2178,100.8,,111.9879
01-12-1999,89.3,102.4,100.9,640,102.9,8.192,100.4,,112.6226
01-01-2000,88.8,102,101,641,102.7,8.293,100.5,100,111.9349
01-02-2000,88.6,101.9,100.7,646,100.5,8.3383,100.4,100.2,111.9804
01-03-2000,88.6,101.3,100.3,649,100.5,8.366,100.1,99.8,112.3424
01-04-2000,88.9,101.4,101.2,654.3,100.1,8.359,100.5,100.1,112.6512
01-05-2000,88.5,101,100.6,659.1,100.2,8.396,100.4,100.6,112.1211
01-06-2000,88.8,99.5,100.1,670.7,99.9,8.2997,100.1,100.7,112.2614
01-07-2000,89.3,99.3,99.3,683.8,100,8.377,100,101.1,112.2939
01-08-2000,89.2,99.2,99.6,691.3,99.4,8.3318,99.9,101.5,111.052
01-09-2000,89.1,99,99.4,696.7,99.3,8.2083,99.8,101.8,111.5116
01-10-2000,88.8,98.6,99.7,703.5,99.2,8.1089,99.6,102.2,111.0077
01-11-2000,88.6,98.4,99.5,708.9,99.2,8.0512,99.5,102.2,110.7551
01-12-2000,87.9,98.4,98.7,710.4,99,7.9719,99.3,102.3,110.1636
01-01-2001,87.9,97.7,98.7,714.5,98.8,7.7439,99.2,102.1,110.0622
01-02-2001,87.5,97.5,98.4,712.3,98.7,7.4734,99.2,102.6,109.0582
01-03-2001,87.3,97.9,98.1,704.4,98.2,7.2383,99.5,103.2,108.2228
01-04-2001,87.1,96.5,97.3,686.5,98.2,6.8663,99.1,103.5,107.973
01-05-2001,86.9,96.1,96.9,669.4,97.2,6.5356,98.9,103.4,107.1378
01-06-2001,86.5,95.2,96.3,649.1,96.4,6.2161,98.8,103.5,106.7364
01-07-2001,86.3,94,96.7,630.2,96,5.9442,98.7,103.7,106.3056
01-08-2001,85.6,94.3,96.7,614.7,94.9,5.8668,98.6,103.7,105.9473
01-09-2001,85.4,94.3,96.2,606.3,94.9,5.871,98.7,103.7,105.7625
01-10-2001,85.3,90.3,96.5,595.1,94.9,5.8718,98.8,104.2,105.3198
01-11-2001,85.4,90.3,96.4,584.8,94.3,5.7994,98.6,104.6,104.5291
01-12-2001,85.4,90.6,95.2,575.4,92.5,5.878,98.3,105.2,104.2948
01-01-2002,85.7,88.4,95.2,563.4,92.3,5.7732,97.6,105.5,105.0674
01-02-2002,85.8,88.4,95.4,553.4,92.9,5.856,97.2,106.5,104.7875
01-03-2002,86.1,88.7,95.5,544.8,93.3,5.8162,96.9,107.2,105.5071
01-04-2002,85.4,88.9,95.9,539.9,92.8,5.7772,96.8,108.1,105.4927
01-05-2002,84.9,88.5,95.9,535.8,91.7,5.7112,96.6,108.8,106.0787
01-06-2002,84.8,87.2,95.6,529.3,89.8,5.6602,96.9,109.3,107.0385
01-07-2002,84.8,86.1,94.2,523.3,89.8,5.6023,96.9,108.7,106.4622
01-08-2002,84.6,86.1,94.2,514.7,89.7,5.569,97.3,109.3,106.6785
01-09-2002,84.6,86.3,94.2,507.4,88.6,5.4852,97.1,108.8,106.804
01-10-2002,84.3,85.8,93.3,501,88.3,5.3778,96.9,109.2,106.5
01-11-2002,84.3,85.8,93.3,493,87.8,5.2793,96.8,110.1,106.4972
01-12-2002,83,85.1,92.7,487,88,5.2178,97,110.5,106.1407
01-01-2003,82.8,84.3,92.1,481.2,88.2,5.1265,97.2,110.7,106.4915
01-02-2003,82.4,84.3,92.5,476.7,89,5.1619,97.4,111.7,106.4576
01-03-2003,82.4,84.3,91.9,473.5,88.9,5.1265,97.6,111.8,106.4428
01-04-2003,82.6,84.4,92.5,468.5,88.8,5.1249,97.6,112.7,105.4721
01-05-2003,82.7,84.2,91.6,463.6,88.8,5.1301,97.7,113.4,105.3861
01-06-2003,82.1,80.2,91.7,460,88.1,5.1732,98.1,113.2,105.5992
01-07-2003,82.1,80.4,93,455.6,88,5.2567,98.3,113.2,105.2
01-08-2003,80,80.4,92.9,453.7,87.9,5.3267,98.1,113.5,104.9765
01-09-2003,79.1,79.6,93.5,451.4,87.6,5.3534,97.8,113.5,105.2405
01-10-2003,79.1,78.2,93,449.3,87.7,5.4286,97.8,114.7,105.2924
01-11-2003,79.3,77.8,93,449.5,87.8,5.4417,98.3,115.7,106.1
01-12-2003,78.4,77.6,91.3,449.7,88.6,5.4349,98.2,114.9,105.9077
01-01-2004,77.7,76.9,90.7,448.6,87.9,5.475,98.7,115.1,105.586
01-02-2004,78.4,77.6,90.4,450.3,88.4,5.4557,98.7,116,106.3147
01-03-2004,78.1,78.1,90.3,450.4,88.6,5.451,98.8,116.3,106.3017
01-04-2004,78.8,78.2,88.7,451.7,89,5.3553,98.8,116.5,106.8009
01-05-2004,78.3,78.2,89,454.1,88.8,5.2848,98.7,117.5,107.7948
01-06-2004,78.5,77.4,88.8,455.7,87.3,5.2661,98.7,118.5,107.2925
01-07-2004,78.5,77.3,87.9,458.8,86.9,5.1474,99,119.5,108.4802
01-08-2004,78.3,77.2,87.9,458.1,86.7,5.1117,99.2,120.1,108.7337
01-09-2004,78.2,77,87.7,458.3,86.3,5.0936,99.2,120.8,108.7077
01-10-2004,78.3,76.8,86.8,457.4,85.3,5.014,99.4,120.3,109.5049
01-11-2004,78,76.8,86.8,455.4,84.5,4.9471,99.7,119.9,109.6937
01-12-2004,78.1,76.9,86.6,450.9,83.9,4.9001,100.2,120.6,110.1122
01-01-2005,77.7,76.8,86.5,449.9,83.1,4.9296,100.9,121.4,110.8784
01-02-2005,77.5,76.5,86.4,451.5,83.1,4.9216,101.1,122.1,111.3493
01-03-2005,77.2,76.4,86.6,451.8,82.4,4.888,101.2,123.2,111.0395
01-04-2005,76.9,75.9,86.2,451,81.6,4.8823,101.5,124.3,111.464
01-05-2005,76.6,75.8,86,451.1,81.3,4.846,101.6,124.9,111.7924
01-06-2005,76.4,76.1,86,451.2,81,4.7791,101.6,125.3,111.6551
01-07-2005,76.6,75.1,85.1,451.8,79.6,4.8087,101.4,125.8,111.6232
01-08-2005,76.8,72.8,85.3,452.6,79.7,4.84,101.4,126,111.6953
01-09-2005,76.2,72.5,84.6,453.2,79.3,5.0051,101.6,126.3,110.055
01-10-2005,75.9,72.5,84,453.2,78.5,4.9982,101.5,126.8,111.6313
01-11-2005,75.2,72.2,84,452.8,77.7,4.9307,101.5,127.9,112.5736
01-12-2005,74.9,72.1,84.8,452.4,77.3,4.8895,101.4,129.2,113.0672
01-01-2006,74.6,71.5,84.6,451.4,78.2,4.8592,101.7,129.9,113.7453
01-02-2006,74.3,70.5,84.7,455.7,78,4.8582,102,131.7,113.4096
01-03-2006,74.6,70.4,85,456.7,78,4.8134,102,133,113.3168
01-04-2006,75,70.1,84.8,460.1,77.4,4.7561,102.2,135.6,113.7013
01-05-2006,75.2,69.7,84.5,459.6,77.6,4.747,102.4,136.2,113.1684
01-06-2006,75.1,69.4,84.8,461,77.1,4.7181,103,136.8,113.1166
01-07-2006,75.3,68.7,85.5,461.7,76.8,4.669,103.2,138.2,113.3892
01-08-2006,75.3,67.3,85.4,461.1,76.5,4.6657,103.2,140.7,113.492
01-09-2006,75.8,67.3,85.2,459.7,77,4.6832,103.4,138.3,113.6099
01-10-2006,75.5,67.3,86,458.1,76.7,4.6219,103.5,137.2,113.2498
01-11-2006,75.4,67.2,86,456.5,76.1,4.5702,103.5,134.3,113.0781
01-12-2006,75.6,67.1,85.5,452.6,75.5,4.4674,103.7,129.7,114.6866
01-01-2007,75.4,66.8,85,456.2,74.2,4.6608,104.3,126.7,114.2037
01-02-2007,72.6,67.2,84.3,454.4,73.6,4.5811,104.3,127.6,114.3362
01-03-2007,71.6,67.2,83.7,451.6,72.8,4.6398,104.5,127.1,114.9497
01-04-2007,71.5,67.7,80.5,449.5,71.5,4.665,104.8,126.3,115.3861
01-05-2007,70.7,67.7,80.6,450.1,71.5,4.5017,105.1,126.8,115.3464
01-06-2007,71,67.9,81,449.8,71.2,4.2733,105.6,127.5,115.8327
01-07-2007,69.8,67.9,81.4,448.5,70.8,4.2045,106,128.9,115.9626
01-08-2007,69.1,67.8,81.6,444.2,70.3,4.1714,106.2,128.4,115.4183
01-09-2007,68.5,67.9,82,441.8,70.2,4.1919,106.3,129.3,116.1231
01-10-2007,67.8,67.6,81.7,441,70.1,4.3026,106.6,129,115.5261
01-11-2007,67.5,68,82.5,441.7,69.7,4.365,106.8,129.2,115.9875
01-12-2007,66.9,68.5,81.8,441.2,69.4,4.3651,107.1,130.4,116.1031
01-01-2008,66.7,68.1,80.9,440.8,68.6,4.3418,107.5,131.3,115.8185
01-02-2008,66.7,68.5,80.6,438.5,67.9,4.3806,107.9,132.6,114.7165
01-03-2008,66.7,67.8,79.9,438.4,67.1,4.4036,108.3,132.2,114.5117
01-04-2008,66.6,67.6,79.2,437,66.7,4.3891,109.8,133.2,113.4083
01-05-2008,66.6,67.4,80.1,434.7,66.3,4.3758,110.2,134.7,112.598
01-06-2008,66.6,69,79.1,431.3,65.8,4.3176,110.5,135.5,111.6511
01-07-2008,66.2,67.2,77.8,432.4,65.4,4.2291,111.2,134.6,110.6325
01-08-2008,66,66.9,78.3,432.4,64.6,4.2351,111.4,134.4,109.7174
01-09-2008,65.8,66.5,78.3,430.7,64.3,4.3293,111.5,135.7,105.9824
01-10-2008,66.1,64.6,77.7,427,63.7,4.0858,111.6,136.6,105.1929
01-11-2008,65.8,64.5,77.4,421.6,63.5,3.8619,111.2,137.8,102.9163
01-12-2008,65.4,64.2,77.9,416.2,62.8,3.7126,111.1,140,99.6
01-01-2009,64.8,64.7,75.8,407.6,62.3,3.7258,111.5,141,97.849
01-02-2009,65,66,75.3,400.8,62,3.7551,111.2,142.9,97.0299
01-03-2009,65.3,66.1,75.3,395,61.2,3.8401,110.6,145.1,94.8746
01-04-2009,65.4,67.4,76.9,387.5,61.3,3.8858,110.7,147.3,93.9824
01-05-2009,65.5,67.7,76.7,381.1,61.4,3.9275,110.7,148.6,93.4132
01-06-2009,65.4,67.5,76.7,374,61.2,3.9191,110.7,149.2,93.2816
01-07-2009,65.6,67.3,75.2,370.1,60.9,3.8615,110.8,149.5,93.4099
01-08-2009,65.5,67.4,75.8,367.3,60.9,3.7625,110.8,149,94.5067
01-09-2009,65.5,67.5,76.1,365.4,61.4,3.7167,110.8,149.7,94.5952
01-10-2009,65.6,64.9,75.7,363.6,61.6,3.6838,110.9,150.4,94.7343
01-11-2009,65.7,64.9,76.6,363.6,62.4,3.6541,110.9,147.3,95.5601
01-12-2009,65.4,64.6,74.5,363,61.9,3.5916,111.2,147.4,95.0639
01-01-2010,64.6,65,75.2,364,60.8,3.6021,111.2,146.7,96.1385
01-02-2010,64.7,64.9,74.8,365.4,60.3,3.6463,111.1,146.9,95.9758
01-03-2010,64.7,64.5,72.5,365.8,60.8,3.6362,110.9,147.7,96.9848
01-04-2010,64.6,64.3,72.5,367.5,62.1,3.5888,111,148.9,97.8544
01-05-2010,64.6,63.8,72.6,368.3,61.6,3.4829,111.1,149.6,98.6682
01-06-2010,64.2,63.4,72.5,369.8,60.1,3.4023,111,148.8,98.6966
01-07-2010,64.3,63,72.1,371,59.7,3.3822,111.1,146.1,98.6922
01-08-2010,63.8,62.7,72,372,59.4,3.389,111.4,146.8,99.1652
01-09-2010,63.5,62.7,72.2,371.4,59.4,3.3785,111.7,148.3,98.9945
01-10-2010,63.2,62.1,72.4,371.9,58.9,3.3785,111.9,149.5,99.1338
01-11-2010,62.2,62.1,72.2,372.1,59.1,3.4134,112.2,149.6,99.2651
01-12-2010,61.9,63,71.8,374.1,58.9,3.4507,112.4,148.7,99.5248
01-01-2011,61.9,63.2,71.1,376.3,58.2,3.4755,113.2,148.5,99.5877
01-02-2011,62.2,63.3,71,378.8,57.4,3.4555,113.8,148.9,99.3505
01-03-2011,62.1,63,71.4,381.2,57.7,3.3576,114.3,150.1,99.7868
01-04-2011,62,63,70.8,382.1,57.9,3.3234,114.8,149.3,99.8762
01-05-2011,62,62.5,70.7,382.6,57.7,3.3033,115.1,148.4,99.9054
01-06-2011,62.1,63,71.7,382.3,57.3,3.2808,115.2,147.6,99.7666
01-07-2011,61.8,63.2,70.1,384.5,56.8,3.2283,115.7,147.5,100.333
01-08-2011,61.6,63.2,69.7,385.7,56.5,3.2465,116,147.2,100.3538
01-09-2011,60.9,63.2,69.1,386.7,56.3,3.2169,116.1,146.5,100.5888
01-10-2011,61.1,63.3,68,386.7,56.2,3.1504,116.1,147.1,100.9235
01-11-2011,60.7,63.2,67.8,385.9,56,3.1515,116.3,146.2,100.9362
01-12-2011,60.2,63.6,69.7,384.4,55.9,3.1415,116.6,146.3,101.5275
01-01-2012,59.7,63.8,69.5,385,58.4,3.0841,116.9,147,102.1453
01-02-2012,59.8,63.4,69.2,385.8,58.5,3.1045,117.1,147.5,102.4573
01-03-2012,59.7,63.5,68.9,385.6,58.3,3.1312,117.3,148.7,101.8071
01-04-2012,59.8,63.2,67.5,385.2,58.1,3.1234,117.5,150.1,102.3873
01-05-2012,60,63.1,67.3,385.4,57.9,3.1197,117.4,148.5,101.8149
01-06-2012,59.7,62.9,66.9,384.8,57.8,3.1251,117.3,148.6,101.7893
01-07-2012,59.6,62.7,66.8,385.4,57.7,3.0652,117.3,147.9,101.6526
01-08-2012,59.4,62.6,66.8,382.2,57,2.9894,117.2,148,101.6909
01-09-2012,59.3,62.8,67.2,380,57,2.9773,117.4,147.2,101.5577
01-10-2012,59.3,63.2,65.8,380.3,56.9,2.9699,117.5,146.6,101.0494
